Date,Open,High,Low,Close,Adj Close,Volume
2/19/2002,110.150002,110.290001,108.610001,108.760002,80.250313,15988100
2/20/2002,109.050003,110.589996,107.82,110.589996,81.600601,29242800
2/21/2002,109.93,110.629997,108.260002,108.300003,79.910904,26288600
2/22/2002,108.349998,109.940002,107.870003,109.639999,80.899628,26572900
2/25/2002,109.739998,111.809998,109.699997,111.449997,82.235161,17458700
2/26/2002,111.599998,112.040001,110.57,111.220001,82.065475,22346500
2/27/2002,111.959999,112.860001,110.650002,111.650002,82.382759,28597900
2/28/2002,111.830002,112.75,111.029999,111.150002,82.013817,23755400
3/1/2002,111.720001,113.849998,111.510002,113.739998,83.924904,26273600
3/4/2002,113.900002,115.989998,113.650002,115.75,85.408005,27184600
3/5/2002,115.330002,116.400002,114.970001,115.379997,85.135002,22718900
3/6/2002,115.099998,117.150002,115.07,116.75,86.145874,20143200
3/7/2002,117.360001,117.5,115.57,116.5,85.961403,19330800
3/8/2002,117.379997,117.900002,116.480003,116.989998,86.322952,19930100
3/11/2002,116.889999,117.900002,116.43,117.239998,86.507439,15621800
3/12/2002,116.099998,117.25,115.940002,117.169998,86.455772,17153600
3/13/2002,116.629997,116.75,115.639999,116.040001,85.622009,17175300
3/14/2002,116.040001,116.43,115.629997,115.879997,85.503944,11168100
3/15/2002,115.970001,116.949997,115.900002,116.650002,86.318649,21220100
3/18/2002,117.099998,117.559998,116.099998,116.669998,86.33345,17548900
3/19/2002,117.300003,117.739998,116.82,117.449997,86.910622,17912000
3/20/2002,116.5,116.580002,115.190002,115.239998,85.275261,17114500
3/21/2002,115.300003,115.900002,114.120003,115.290001,85.312256,25846800
3/22/2002,115.5,115.940002,114.699997,115.040001,85.127281,15235400
3/25/2002,115.089996,115.360001,113.300003,113.610001,84.069099,17499600
3/26/2002,113.519997,115.019997,113.470001,114.269997,84.55748,19947600
3/27/2002,114.029999,115.010002,113.760002,114.57,84.779488,19020300
3/28/2002,114.970001,115.769997,114.5,114.519997,84.742531,17532900
4/1/2002,114.230003,115.099998,113.5,114.57,84.779488,17711000
4/2/2002,113.980003,114.949997,113.769997,113.940002,84.313316,15669500
4/3/2002,114.010002,114.209999,112.160004,113.139999,83.721298,25658500
4/4/2002,112.599998,113.400002,112.230003,112.669998,83.37352,23549000
4/5/2002,113.190002,113.629997,112.18,112.690002,83.388374,19404900
4/8/2002,111.32,113.029999,111.230003,112.93,83.565933,16470100
4/9/2002,113.18,113.18,111.93,112.139999,82.981323,15122700
4/10/2002,112.099998,113.540001,112.089996,113.410004,83.921112,17199300
4/11/2002,112.889999,113.050003,110.5,110.589996,81.834381,25453700
4/12/2002,111.019997,111.650002,110.040001,111.419998,82.44857,14950600
4/15/2002,111.620003,111.860001,110.199997,110.57,81.819572,17394900
4/16/2002,111.699997,113.32,111.669998,113.199997,83.765732,15040900
4/17/2002,113.389999,113.669998,112.599998,112.959999,83.588097,12920100
